"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0,0,0.68016,0.44165,1.6901,
1,0.86776,5.3533,0,0,0.0026578,0.072499,0.019026,
2,0.8917,5.3533,0,0,0.00071471,0.037836,0.0083589,
3,0.91602,0.038727,0,0,0.00010013,0.014197,0.0027948,
4,0.9351,0.023883,0,0,4.0077e-06,0.0028259,0.00052579,
5,0.95613,0.011372,0,0,2.1235e-08,0.00020579,3.9645e-05,
6,0.96605,0.0026434,0,0,1.6245e-11,3.9345e-06,1.9071e-06,
7,0.97586,0.00020138,0,0,4.6899e-13,1.1658e-08,5.0464e-07,
8,0.98239,5.5506e-06,0,0,4.6899e-13,2.2667e-12,5.0579e-07,
9,0.99577,0,0,0,6.0826e-14,8.0915e-18,3.3725e-07,
10,1.0058,2.0499e-06,0,0,2.1106e-15,8.1744e-26,3.4498e-08,
11,1.0124,3.3725e-07,0,0,2.1106e-15,1.5015e-37,3.4498e-08,
12,1.0289,0,0,0,6.24e-17,8.9233e-55,1.0541e-08,
13,1.0392,1.3236e-07,0,0,3.4174e-18,4.6368e-80,1.4074e-09,
14,1.0457,1.0541e-08,0,0,3.4174e-18,3.5804e-117,1.4074e-09,
15,1.0587,0,0,0,3.0905e-19,1.2038e-171,4.0825e-10,
16,1.0683,3.4823e-09,0,0,1.6497e-19,1.3322e-251,2.9797e-10,
17,1.0813,4.0825e-10,0,0,7.9091e-27,0,1.1785e-13,
18,1.0877,1.1072e-09,0,0,7.9091e-27,0,1.1785e-13,
19,1.0943,0,0,0,7.9091e-27,0,1.1785e-13,
20,1.1007,0,0,0,7.9091e-27,0,1.1785e-13,
21,1.1071,0,0,0,7.9091e-27,0,1.1785e-13,
22,1.1138,0,0,0,7.9091e-27,0,1.1785e-13,
23,1.1207,0,0,0,7.9091e-27,0,1.1785e-13,
24,1.1308,0,0,0,9.1331e-28,0,2.9558e-14,
25,1.1376,1.0732e-13,0,0,9.1331e-28,0,2.9558e-14,
26,1.1507,0,0,0,2.8537e-28,0,1.2413e-14,
27,1.1636,4.0361e-14,0,0,4.7609e-31,0,8.434e-16,
28,1.17,6.0152e-14,0,0,4.7609e-31,0,8.434e-16,
29,1.1798,0,0,0,1.5099e-31,0,3.4001e-16,
30,1.1977,1.2124e-15,0,0,1.3096e-31,0,3.4239e-16,
31,1.2116,6.5916e-16,0,0,8.7822e-32,0,3.0591e-16,
32,1.2399,3.6822e-16,0,0,6.9333e-32,0,2.4079e-16,
33,1.2787,3.3307e-16,0,0,6.9333e-32,0,2.4079e-16,
34,1.3175,0,0,0,6.9333e-32,0,2.4079e-16,
