"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,5.1851e-09,2.0338e-10,0.0040857,0.48008,0.73535,
1,0.919,3.2638,0.0029511,0.00010543,0.0091466,0.12025,0.031064,
2,1.1094,3.2638,3.9041e-05,1.2654e-06,0.0039243,0.084522,0.015186,
3,1.153,0.84478,5.2346e-07,2.0356e-08,0.0015183,0.054592,0.0074247,
4,1.1916,0.035606,5.9777e-07,2.9516e-08,0.0004818,0.031048,0.0033847,
5,1.2338,0.025202,4.1985e-07,2.0248e-08,9.7483e-05,0.013951,0.00128,
6,1.2692,0.01809,3.3042e-08,1.0639e-09,7.3506e-06,0.0038338,0.00031289,
7,1.3153,0.010779,8.8748e-10,4.3009e-11,8.0934e-08,0.00040233,3.1453e-05,
8,1.3579,0.0036519,4.4975e-10,1.9021e-11,6.0361e-11,1.1e-05,8.5667e-07,
9,1.3915,0.00041634,3.0638e-10,1.1626e-11,1.4483e-15,6.6007e-08,3.7901e-08,
10,1.3981,1.1634e-05,3.0638e-10,1.1626e-11,1.4483e-15,9.6886e-08,7.5068e-08,
11,1.4163,0,1.6679e-10,5.9047e-12,1.3912e-15,7.7416e-08,7.5524e-08,
12,1.4348,1.3141e-09,5.3417e-12,3.2269e-13,1.3743e-15,3.6393e-09,5.0385e-08,
13,1.4527,4.0775e-10,1.2474e-10,6.6934e-12,2.0207e-16,1.2474e-07,9.0061e-08,
14,1.4732,3.4099e-08,1.6037e-11,5.2965e-13,2.008e-16,2.3538e-08,2.4793e-08,
15,1.493,2.6493e-10,9.4619e-13,4.2541e-14,1.9981e-16,2.0385e-09,1.8757e-08,
16,1.5092,5.8481e-11,1.7153e-11,8.1156e-13,1.7838e-16,5.4242e-08,4.0744e-08,
17,1.5294,1.1799e-09,3.1009e-12,1.6825e-13,1.7793e-16,1.4393e-08,2.1759e-08,
18,1.5496,4.318e-11,5.4512e-13,3.236e-14,1.7755e-16,3.7139e-09,1.7806e-08,
19,1.5683,2.2871e-11,5.4272e-12,2.5593e-13,1.7505e-16,5.4272e-08,4.5194e-08,
20,1.5898,1.4258e-10,2.3703e-13,1.0977e-14,1.7494e-16,3.4792e-09,1.7707e-08,
21,1.6095,1.1232e-11,3.1197e-14,1.3461e-15,1.7432e-16,6.7212e-10,1.7441e-08,
22,1.625,3.5585e-11,1.2809e-11,5.5781e-13,1.3841e-16,4.0507e-07,3.2202e-07,
23,1.649,2.181e-09,1.5765e-13,8.2434e-15,1.3838e-16,7.3175e-09,1.6169e-08,
24,1.6706,1.869e-11,2.1183e-13,1.1822e-14,1.3825e-16,1.4432e-08,2.0611e-08,
25,1.6944,8.3752e-12,1.4433e-15,6.245e-17,1.3824e-16,1.4433e-10,1.5491e-08,
26,1.7101,8.3946e-13,5.2673e-12,2.1855e-13,1.099e-16,7.7314e-07,5.9849e-07,
27,1.7348,1.9366e-09,3.8525e-14,2.0383e-15,1.0989e-16,8.2999e-09,1.4946e-08,
28,1.7595,7.5599e-12,8.3877e-14,3.5302e-15,1.0988e-16,2.6524e-08,2.3065e-08,
29,1.785,9.6759e-13,2.4425e-15,1.3184e-16,1.0988e-16,1.1337e-09,1.3815e-08,
30,1.8067,2.145e-13,2.609e-15,1.5092e-16,1.0983e-16,1.7775e-09,1.3839e-08,
31,1.8287,3.401e-12,5.0071e-14,2.9664e-15,1.0979e-16,5.0071e-08,5.0418e-08,
32,1.8549,3.4088e-12,8.2157e-15,4.3021e-16,1.0978e-16,8.2157e-09,1.5632e-08,
33,1.8798,1.3445e-13,7.6605e-15,4.7184e-16,1.0978e-16,7.6605e-09,1.5796e-08,
34,1.9045,2.3456e-13,1.0658e-14,5.3429e-16,1.0978e-16,1.0658e-08,1.6307e-08,
35,1.9294,2.3519e-13,3.3307e-15,1.1449e-16,1.0978e-16,3.3307e-09,1.3981e-08,
36,1.9522,1.2446e-13,1.8541e-14,7.5287e-16,1.0975e-16,1.8541e-08,1.7347e-08,
