"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,4.6993e-18,6.6364,6.0956e-05,NaN,NaN,NaN,NaN,1,6.7902,2.3183e-09,1.2431e-10,
1,3.9535e-17,1.7431e-05,0.14022,0.038152,0,0.00093118,1,1,1.7431e-05,7.6746e-09,3.0759e-10,
2,1.71e-16,3.2371e-07,0.27772,0.025032,0,0.00080297,1,1,3.2425e-07,1.8047e-08,4.9525e-10,
3,3.028e-16,3.2026e-07,0.40855,0.016423,0,0.00052503,1,1,3.2122e-07,2.4063e-08,6.5916e-10,
4,4.3883e-16,3.1838e-07,0.54585,0.014781,0,0.00046934,1,1,3.1978e-07,2.8762e-08,8.4341e-10,
5,5.9924e-16,3.1681e-07,0.67929,0.014781,0,0.00046651,1,1,3.1871e-07,3.3338e-08,1.0227e-09,
6,7.8188e-16,3.1531e-07,0.81408,0.014781,0,0.0004637,1,1,3.178e-07,3.7794e-08,1.1971e-09,
7,9.8477e-16,3.1388e-07,0.9499,0.014781,0,0.00046092,1,1,3.1702e-07,4.2133e-08,1.3668e-09,
8,1.206e-15,3.1253e-07,1.0953,0.014781,0,0.00045818,1,1,3.1638e-07,4.6358e-08,1.5318e-09,
9,1.4438e-15,3.1123e-07,1.2379,0.014781,0,0.00045546,1,1,3.1585e-07,5.047e-08,1.6923e-09,
10,1.7646e-15,3.1015e-07,1.3766,0.016423,0,0.00050307,1,1,3.1581e-07,5.5503e-08,1.8879e-09,
11,2.1075e-15,3.0895e-07,1.5111,0.016423,0,0.00049979,1,1,3.1572e-07,6.0387e-08,2.0776e-09,
12,2.4698e-15,3.0783e-07,1.6444,0.016423,0,0.00049654,1,1,3.1577e-07,6.5126e-08,2.2614e-09,
13,2.8492e-15,3.0678e-07,1.7834,0.016423,0,0.00049333,1,1,3.1595e-07,6.9723e-08,2.4395e-09,
14,3.2433e-15,3.058e-07,1.9198,0.016423,0,0.00049015,1,1,3.1625e-07,7.4181e-08,2.612e-09,
15,3.6499e-15,3.0488e-07,2.0526,0.016423,0,0.00048701,1,1,3.1664e-07,7.8503e-08,2.779e-09,
16,4.0673e-15,3.0401e-07,2.1885,0.016423,0,0.00048391,1,1,3.1713e-07,8.2693e-08,2.9408e-09,
17,4.4934e-15,3.032e-07,2.3234,0.016423,0,0.00048084,1,1,3.1769e-07,8.6754e-08,3.0973e-09,
18,5.0503e-15,3.0272e-07,2.4566,0.018248,0,0.00053089,1,1,3.1899e-07,9.1788e-08,3.2907e-09,
19,5.6192e-15,3.0211e-07,2.5882,0.018248,0,0.00052718,1,1,3.2019e-07,9.665e-08,3.4771e-09,
20,6.1972e-15,3.0156e-07,2.7295,0.018248,0,0.00052353,1,1,3.2147e-07,1.0134e-07,3.6569e-09,
21,6.7819e-15,3.0106e-07,2.8683,0.018248,0,0.00051991,1,1,3.2282e-07,1.0588e-07,3.8301e-09,
22,7.371e-15,3.006e-07,3.0009,0.018248,0,0.00051634,1,1,3.2422e-07,1.1025e-07,3.997e-09,
23,7.9623e-15,3.0019e-07,3.1433,0.018248,0,0.00051281,1,1,3.2566e-07,1.1447e-07,4.1578e-09,
