"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.77973,8.2021,3.0223e-05,NaN,NaN,NaN,NaN,1,10.2078,5.727e-09,4.626e-10,
1,0.36527,0.59132,0.2906,0.43047,0,1.0644,1,3.8189,0.59168,0.0099163,0.0007314,
2,0.2688,0.16585,0.57571,0.9,0,1.0201,1,3.8189,0.16818,0.016525,0.00083224,
3,0.24648,0.12105,0.859,1,0,0.80576,1,3.8189,0.1218,0.0104,0.00034582,
4,0.23889,0.10064,1.1513,0.53144,0,0.417,1,3.8189,0.10133,0.0076058,0.00032841,
5,0.23093,0.045606,1.4504,0.9,0,1.0132,1,3.8189,0.046809,0.0071519,0.00032522,
6,0.22568,0.017315,1.7548,1,0,0.39935,1,3.8189,0.017407,0.0012864,4.7394e-05,
7,0.22522,0.0056326,2.0435,1,0,0.37151,1,3.8189,0.0057922,0.0008826,3.7514e-05,
8,0.22497,0.0046857,2.3288,1,0,0.11254,1,3.8189,0.0047838,0.00067638,2.1359e-05,
9,0.22493,0.0027847,2.6224,1,0,0.098252,1,3.8189,0.0027974,0.00017716,6.7227e-06,
10,0.22493,0.0014987,2.9247,1,0,0.033154,1,3.8189,0.001499,2.1323e-05,6.5662e-07,
11,0.22492,0.00082535,3.2096,1,0,0.014738,1,3.8189,0.00082537,4.4789e-06,1.434e-07,
12,0.22492,0.00046333,3.4929,1,0,0.0080515,1,3.8189,0.00046333,1.4207e-06,4.5921e-08,
13,0.22492,0.00026166,3.7867,1,0,0.0053656,1,3.8189,0.00026166,4.7808e-07,1.7114e-08,
14,0.22492,0.00014821,4.0836,1,0,0.0040513,1,3.8189,0.00014821,1.6393e-07,6.7251e-09,
15,0.22492,8.4083e-05,4.3931,1,0,0.0033178,1,3.8189,8.4083e-05,5.746e-08,2.7445e-09,
16,0.22492,4.7747e-05,4.6816,1,0,0.0028617,1,3.8189,4.7747e-05,2.0815e-08,1.1713e-09,
17,0.22492,2.7128e-05,4.9677,1,0,0.0025455,1,3.8189,2.7128e-05,7.8859e-09,5.4522e-10,
18,0.22492,1.5418e-05,5.2518,1,0,0.0023055,1,3.8189,1.5418e-05,3.1557e-09,2.6557e-10,
19,0.22492,8.7648e-06,5.5377,1,0,0.0021119,1,3.8189,8.7648e-06,1.3404e-09,1.3277e-10,
20,0.22492,4.9832e-06,5.8243,1,0,0.00195,1,3.8189,4.9832e-06,7.0105e-10,6.7605e-11,
21,0.22492,2.8335e-06,6.1295,1,0,0.0018114,1,3.8189,2.8335e-06,3.7121e-10,3.4805e-11,
22,0.22492,1.6113e-06,6.4455,1,0,0.001691,1,3.8189,1.6113e-06,1.9739e-10,1.7985e-11,
23,0.22492,9.1639e-07,6.7289,1,0,0.0015853,1,3.8189,9.1639e-07,1.0536e-10,9.3332e-12,
24,0.22492,5.213e-07,7.0294,1,0,0.0015033,1,3.8189,5.213e-07,5.6886e-11,5.3034e-12,
25,0.22492,2.9672e-07,7.3147,1,0,0.0014188,1,3.8189,2.9672e-07,3.0563e-11,2.8321e-12,
26,0.22492,1.6913e-07,7.605,1,0,0.001343,1,3.8189,1.6913e-07,1.647e-11,1.5144e-12,
