"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,2.6583e-08,3.6324e-09,0.036937,1,5.6202,5.4758,
1,0.16039,3.8515,3.3333,0.76755,0.17469,4.6723,1.2495,3.0336,0.00028877,
2,0.43446,3.8515,3.3333,0.27394,0.0667,0.63607,0.90529,1.0555,0.00019942,
3,0.56988,3.4384,3.3333,0.17115,0.028292,0.14747,0.57975,0.49782,0.0001168,
4,0.67032,1.5924,3.3333,0.046668,0.0094582,0.018652,0.44797,0.16102,4.8512e-05,
5,0.77828,0.4987,3.3333,0.018725,0.0033548,0.0032482,0.3684,0.059686,1.834e-05,
6,0.8746,0.18461,11.1111,0.014698,0.0017301,0.0013202,0.35512,0.034445,6.7392e-06,
7,1.0364,0.058774,11.1111,0.0066285,0.00053427,0.00038461,0.34349,0.010812,2.0657e-06,
8,1.2234,0.047256,11.1111,0.002464,0.00016891,0.00018168,0.33935,0.003583,4.9968e-07,
9,1.4208,0.020046,11.1111,0.0015257,0.00010347,0.00011397,0.33679,0.0024052,2.9731e-07,
10,1.6098,0.0067397,11.1111,0.0010937,7.8034e-05,7.4926e-05,0.33506,0.001837,1.1884e-07,
11,1.8022,0.0045169,11.1111,0.00081708,6.4374e-05,5.0694e-05,0.33385,0.0014548,3.4909e-08,
12,1.9976,0.0034198,11.1111,0.00062207,5.3672e-05,3.4949e-05,0.33298,0.0011772,1.244e-08,
13,2.1965,0.0027352,11.1111,0.00048025,4.4985e-05,2.4377e-05,0.33236,0.00096634,1.8488e-08,
14,2.4304,0.002253,11.1111,0.00037535,3.7949e-05,1.7119e-05,0.33191,0.00080073,2.0718e-08,
15,2.6329,0.0018862,11.1111,0.00029664,3.201e-05,1.2068e-05,0.33158,0.00066743,9.7678e-09,
16,2.82,0.001592,11.1111,0.00023678,2.699e-05,8.5238e-06,0.33134,0.00055833,1.9222e-08,
17,3.0238,0.0013485,37.037,0.00019813,2.2784e-05,6.025e-06,0.33115,0.00046804,2.1653e-08,
18,3.3019,0.0011432,37.037,0.00012235,1.405e-05,2.2625e-06,0.33084,0.00028603,7.106e-08,
19,3.5471,0.0023716,37.037,7.5171e-05,8.6319e-06,8.4739e-07,0.33067,0.00017489,7.4733e-08,
20,3.7618,0.00147,37.037,4.6047e-05,5.2917e-06,3.1666e-07,0.33057,0.00010687,4.0859e-08,
21,3.9913,0.00090586,37.037,2.8152e-05,3.2392e-06,1.1815e-07,0.33052,6.5267e-05,3.2502e-08,
22,4.2036,0.00055602,37.037,1.719e-05,1.9814e-06,4.4051e-08,0.33049,3.9842e-05,2.0268e-08,
23,4.3997,0.00034041,37.037,1.0487e-05,1.2118e-06,1.6422e-08,0.33047,2.4315e-05,1.7456e-08,
24,4.5831,0.00020807,37.037,6.3936e-06,7.4136e-07,6.1266e-09,0.33046,1.4838e-05,4.6207e-08,
25,4.7468,0.00012706,37.037,3.896e-06,4.5387e-07,2.2903e-09,0.33045,9.0573e-06,6.0794e-08,
26,4.9187,7.7534e-05,37.037,2.3724e-06,2.7817e-07,8.5957e-10,0.33045,5.5314e-06,4.902e-08,
27,5.0972,4.73e-05,37.037,1.4436e-06,1.7078e-07,3.251e-10,0.33044,3.382e-06,2.8404e-08,
28,5.2512,2.8848e-05,37.037,8.7783e-07,1.051e-07,1.2466e-10,0.33044,2.0721e-06,1.6719e-08,
29,5.373,1.76e-05,37.037,5.3361e-07,6.4876e-08,4.8838e-11,0.33044,1.2778e-06,9.8732e-08,
30,5.4885,1.0742e-05,37.037,3.2288e-07,4.0394e-08,1.9993e-11,0.33044,7.9058e-07,4.1082e-08,
31,5.6075,6.5554e-06,37.037,1.9557e-07,2.5345e-08,8.7141e-12,0.33044,4.9614e-07,2.8738e-08,
32,5.7204,4.0158e-06,37.037,1.3388e-07,1.6062e-08,4.1392e-12,0.33044,3.1817e-07,2.1837e-08,
33,5.8115,2.4691e-06,123.4568,1.0836e-07,1.0389e-08,2.1603e-12,0.33044,2.2208e-07,7.1003e-08,
34,5.9229,1.5229e-06,123.4568,6.4597e-08,3.8152e-09,5.9705e-13,0.33044,1.3509e-07,9.9266e-08,
35,6.0048,1.7876e-06,123.4568,3.9421e-08,1.5889e-09,2.0154e-13,0.33044,1.6076e-07,1.5324e-07,
36,6.0786,7.2422e-07,123.4568,2.1669e-08,9.9438e-10,6.8814e-14,0.33044,1.3744e-07,1.3446e-07,
37,6.1052,4.0504e-07,411.5226,2.2271e-08,8.7481e-10,6.5232e-14,0.33044,2.6408e-07,2.6265e-07,
38,6.1876,1.5964e-08,411.5226,2.736e-09,2.7735e-10,1.4013e-15,0.33044,2.9704e-07,2.9699e-07,
39,6.2148,4.4344e-07,1371.7421,2.8163e-09,2.7481e-10,1.1695e-15,0.33044,3.3408e-07,3.3404e-07,
40,6.2407,2.3411e-08,4572.4737,2.7367e-09,1.9196e-10,1.0709e-15,0.33044,1.8457e-06,1.8457e-06,
41,6.2687,7.8375e-09,15241.579,2.642e-09,1.7313e-10,1.0341e-15,0.33044,2.3948e-06,2.3948e-06,
42,6.2967,2.4992e-09,50805.2634,2.6041e-09,1.5337e-10,9.9233e-16,0.33044,6.4677e-06,6.4677e-06,
43,6.3248,2.3582e-09,169350.8781,2.4379e-09,1.344e-10,8.8951e-16,0.33045,2.2103e-05,2.2103e-05,
44,6.3588,5.2391e-09,564502.9269,2.4337e-09,1.2773e-10,8.6614e-16,0.33046,4.9045e-05,4.9045e-05,
45,6.3909,1.1417e-09,1881676.4232,2.2607e-09,1.148e-10,7.5295e-16,0.33047,0.00016313,0.00016313,
46,6.4263,5.1719e-09,6272254.7439,2.2104e-09,1.1115e-10,7.2602e-16,0.33051,0.0004482,0.0004482,
47,6.4633,1.1471e-09,6272254.7439,1.5317e-09,8.4543e-11,3.6495e-16,0.33016,0.0031621,0.0031621,
48,6.4998,1.8257e-08,20907515.8129,1.5876e-09,7.3963e-11,3.5353e-16,0.33023,0.00236,0.00236,
49,6.537,1.3966e-09,69691719.3763,1.522e-09,6.7372e-11,3.422e-16,0.3339,0.0046175,0.0046175,
50,6.5742,9.7453e-10,232305731.2542,1.308e-09,6.5685e-11,2.5899e-16,0.32907,0.018355,0.018355,
51,6.6295,5.9768e-09,774352437.514,1.308e-09,6.5685e-11,2.5899e-16,0.45243,0.078045,0.078045,
52,6.682,0,2581174791.7132,1.308e-09,6.5685e-11,2.5899e-16,1.4653,0.27842,0.27842,
53,6.7352,0,8603915972.3773,1.308e-09,6.5685e-11,2.5899e-16,4.8415,0.94664,0.94664,
54,6.7884,0,28679719907.9244,1.308e-09,6.5685e-11,2.5899e-16,16.0955,3.1741,3.1741,
55,6.848,0,95599066359.7481,1.308e-09,6.5685e-11,2.5899e-16,20,10.5991,10.5991,
