"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.0321,0.21802,0,1,6.5524,
1,0.035685,4.7953,0.19813,0.014484,0,0.89273,1.0455,
2,0.050759,4.7953,0.17575,0.011856,0,0.93239,0.88735,
3,0.076277,0.16369,0.1608,0.0064433,0,0.96077,0.71484,
4,0.095114,0.50214,0.16284,0.005802,0,0.98166,0.43759,
5,0.11214,0.054287,0.16914,0.004973,0,0.99198,0.53133,
6,0.17538,0.070166,0.014514,0.0011209,0,0.70313,0.33502,
7,0.20312,0.73205,0.010059,0.00070617,0,0.70917,0.33339,
8,0.2512,0.044708,0.0022605,9.4027e-05,0,0.31492,0.076519,
9,0.25934,0.066925,0.0022605,9.4027e-05,0,0.43785,0.11146,
10,0.26771,0,0.0022605,9.4027e-05,0,0.58154,0.16285,
11,0.28929,0,0.0023224,8.5128e-05,0,0.73313,0.15539,
12,0.31171,0.00094105,0.0024396,7.267e-05,0,0.85687,0.12641,
13,0.33475,0.00082289,0.0026061,6.3625e-05,0,0.93363,0.1469,
14,0.36164,0.00092304,0.0027603,5.6727e-05,0,0.97087,0.12165,
15,0.52166,0.0009939,4.5193e-05,5.8171e-06,0,0.096907,0.11659,
16,0.54771,0.049458,2.813e-05,4.517e-06,0,0.088605,0.086728,
17,0.5761,8.3408e-05,2.2533e-05,3.3297e-06,0,0.10402,0.08124,
18,0.60679,8.6843e-05,1.9791e-05,2.2455e-06,0,0.13363,0.044791,
19,0.63552,6.7244e-05,1.6093e-05,1.9446e-06,0,0.15889,0.039971,
20,0.6631,0.0001073,1.5673e-05,1.5989e-06,0,0.22419,0.045218,
21,0.74696,6.8073e-05,5.9849e-06,3.2196e-07,0,0.12788,0.028961,
22,0.77347,0.00048102,6.1934e-06,2.8091e-07,0,0.1922,0.021965,
23,0.78197,5.1779e-06,6.1934e-06,2.8091e-07,0,0.27628,0.032096,
24,0.84383,0,1.5687e-06,1.488e-07,0,0.10627,0.027811,
25,0.88012,0.00011023,1.5313e-06,9.6528e-08,0,0.15136,0.02166,
26,0.94771,7.8206e-06,6.2541e-07,4.0785e-08,0,0.091413,0.021064,
27,1.0067,2.9242e-05,5.1011e-07,1.6508e-08,0,0.10924,0.009802,
28,1.0157,6.2341e-06,5.1011e-07,1.6508e-08,0,0.15925,0.014302,
29,1.1026,0,3.8846e-08,5.5873e-09,0,0.018028,0.008648,
30,1.1348,1.0835e-05,2.6583e-08,3.6324e-09,0,0.018108,0.0081746,
