"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,3.4609e-08,2.8901e-09,9.2892e-16,3.4609e-07,1.5504e-07,
1,0.0057368,0,3.4609e-08,2.8901e-09,9.2892e-16,3.4609e-07,1.5504e-07,
2,0.01187,0,3.4609e-08,2.8901e-09,9.2892e-16,5.0798e-07,2.1659e-07,
3,0.016864,0,3.4609e-08,2.8901e-09,9.2892e-16,7.4562e-07,3.0825e-07,
4,0.022256,0,3.4609e-08,2.8901e-09,9.2892e-16,1.0944e-06,4.4377e-07,
5,0.027577,0,3.4609e-08,2.8901e-09,9.2892e-16,1.6064e-06,6.434e-07,
6,0.032619,0,3.4609e-08,2.8901e-09,9.2892e-16,2.3579e-06,9.3692e-07,
7,0.037735,0,3.4609e-08,2.8901e-09,9.2892e-16,3.4609e-06,1.3681e-06,
8,0.05443,0,3.1109e-08,1.7578e-09,5.7988e-16,4.5663e-06,8.6182e-07,
9,0.070606,4.9323e-08,2.7863e-08,1.4347e-09,4.564e-16,6.0029e-06,8.376e-07,
10,0.10048,2.8626e-08,1.119e-09,1.2506e-10,1.5176e-18,3.5385e-07,1.0697e-07,
11,0.11386,2.477e-07,6.3837e-10,9.0873e-11,6.4724e-19,2.963e-07,3.6987e-07,
12,0.12861,5.1592e-09,4.5303e-10,5.4602e-11,2.6772e-19,3.0864e-07,9.3206e-08,
13,0.14242,9.1299e-10,1.8819e-10,2.5422e-11,4.5765e-20,1.8819e-07,2.502e-07,
14,0.15798,4.2048e-09,9.5251e-11,1.1232e-11,1.0578e-20,1.3981e-07,4.9441e-08,
15,0.17192,2.7289e-10,7.3217e-11,1.0894e-11,1.0611e-20,1.5774e-07,2.4803e-07,
16,0.18788,4.7754e-10,6.4536e-11,4.8241e-12,2.9395e-21,2.0408e-07,4.5137e-08,
17,0.20271,1.2987e-10,5.6334e-11,4.3243e-12,2.2488e-21,2.6148e-07,1.5065e-07,
18,0.21937,1.32e-10,5.1356e-11,2.8845e-12,1.5954e-21,3.4988e-07,4.8021e-08,
19,0.23359,3.7881e-11,2.023e-11,4.1147e-12,1.0156e-21,2.023e-07,3.8392e-07,
20,0.25045,5.4313e-10,1.0305e-11,1.4028e-12,1.6154e-22,1.5126e-07,6.141e-08,
21,0.26672,4.3825e-11,8.2094e-12,1.1428e-12,1.0058e-22,1.7687e-07,1.0747e-07,
22,0.28447,2.4363e-11,6.9796e-12,9.2316e-13,7.503e-23,2.2072e-07,6.8121e-08,
23,0.30143,8.2313e-12,3.8188e-12,5.7178e-13,2.5473e-23,1.7725e-07,9.0549e-08,
24,0.31871,9.6075e-11,2.8649e-12,4.7293e-13,1.5443e-23,1.9519e-07,1.1957e-07,
25,0.33683,8.6988e-12,2.7778e-12,3.4903e-13,1.0834e-23,2.7778e-07,8.4569e-08,
26,0.35414,4.1421e-12,7.8232e-13,1.3429e-13,1.2096e-24,1.1483e-07,9.4767e-08,
27,0.3732,2.9946e-11,7.0843e-13,1.0206e-13,8.6491e-25,1.5263e-07,4.9827e-08,
28,0.39092,9.0515e-13,4.5464e-13,7.879e-14,3.7865e-25,1.4377e-07,1.5603e-07,
29,0.41074,8.6083e-12,2.9915e-13,5.2368e-14,1.8135e-25,1.3885e-07,6.8469e-08,
30,0.42948,7.0355e-13,2.0411e-13,3.4637e-14,6.9955e-26,1.3906e-07,1.3416e-07,
31,0.45,1.5647e-12,2.3187e-13,2.0568e-14,4.473e-26,2.3187e-07,4.4446e-08,
32,0.46941,2.4079e-13,1.1094e-13,1.6387e-14,1.8107e-26,1.1094e-07,1.2379e-07,
33,0.4894,1.3599e-12,1.1807e-13,6.9408e-15,8.7578e-27,1.1807e-07,1.9627e-08,
34,0.50798,1.4708e-13,8.0741e-14,8.8592e-15,6.3434e-27,8.0741e-08,5.3998e-08,
35,0.52799,3.0102e-13,8.7846e-14,5.6549e-15,4.801e-27,8.7846e-08,2.5624e-08,
36,0.5477,7.9251e-14,8.1601e-14,3.9206e-15,3.8902e-27,8.1601e-08,1.1336e-08,
37,0.56554,6.3057e-14,4.4326e-14,4.5773e-15,1.6851e-27,4.4326e-08,3.2211e-08,
38,0.58592,3.3751e-13,4.2299e-14,3.421e-15,1.2578e-27,4.2299e-08,2.0044e-08,
39,0.60602,5.2776e-14,4.2355e-14,3.2621e-15,1.2178e-27,4.2355e-08,1.7728e-08,
40,0.62539,1.4918e-14,3.8858e-14,2.1895e-15,9.1014e-28,3.8858e-08,6.372e-09,
41,0.64403,3.5181e-14,2.1871e-14,2.4993e-15,4.7016e-28,2.1871e-08,1.7954e-08,
42,0.66363,1.6629e-13,1.9651e-14,1.3425e-15,2.5023e-28,1.9651e-08,4.703e-09,
43,0.68272,2.8073e-14,1.7153e-14,3.0784e-15,6.4057e-28,1.7153e-08,2.906e-08,
44,0.70201,5.3005e-14,1.4766e-14,1.3774e-15,1.8031e-28,1.4766e-08,8.7265e-09,
45,0.72119,4.0481e-14,1.3572e-14,1.2225e-15,1.4764e-28,1.3572e-08,8.875e-09,
46,0.74014,2.4961e-14,1.1213e-14,1.1172e-15,1.1437e-28,1.1213e-08,7.4902e-09,
47,0.75915,2.3052e-14,1.4877e-14,2.9575e-15,6.7335e-28,1.4877e-08,3.2333e-08,
48,0.77847,4.8239e-14,9.6034e-15,1.2326e-15,1.1688e-28,9.6034e-09,9.483e-09,
