"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,1.4712,7.3102,2.9399e-05,NaN,NaN,NaN,NaN,1,8.5667,1.3458e-08,9.7437e-10,
1,0.47453,0.89599,0.13483,0.6561,0,1.4707,1,2.2489,0.90203,0.075673,0.0034359,
2,0.28916,0.48643,0.29137,0.53144,0,0.93653,1,2.2489,0.50143,0.079802,0.0038452,
3,0.12645,0.12885,0.4667,1,0,0.96186,1,2.2489,0.14398,0.059712,0.001643,
4,0.087353,0.13354,0.63434,0.59049,0,0.59756,1,2.2489,0.14542,0.054041,0.0015467,
5,0.068105,0.13315,0.79022,1,0,0.57493,1,2.2489,0.13931,0.022531,0.0014714,
6,0.066996,0.010528,0.94886,1,0,0.11878,1,2.2489,0.010651,0.0013916,4.7393e-05,
7,0.067052,0.0035613,1.0937,1,0,0.020827,1,2.2489,0.003563,8.2083e-05,3.5375e-06,
8,0.067052,0.00059601,1.2329,1,0,0.0021722,1,2.2489,0.00059601,6.3915e-07,4.5602e-08,
9,0.067052,9.1907e-05,1.3831,1,0,0.00031258,1,2.2489,9.1907e-05,9.8146e-09,6.2186e-10,
10,0.067052,1.4294e-05,1.5324,1,0,4.915e-05,1,2.2489,1.4294e-05,2.3505e-10,1.4916e-11,
11,0.067052,2.2282e-06,1.6629,1,0,7.673e-06,1,2.2489,2.2282e-06,5.7105e-12,3.6241e-13,
12,0.067052,3.4749e-07,1.7994,1,0,1.1969e-06,1,2.2489,3.4749e-07,1.3878e-13,8.8216e-15,
13,0.067052,5.4194e-08,1.9634,1,0,1.8667e-07,1,2.2489,5.4194e-08,3.1086e-15,2.1125e-16,
14,0.067052,8.4521e-09,2.1186,1,0,2.9113e-08,1,2.2489,8.4524e-09,6.6613e-16,3.1611e-17,
15,0.067052,1.3182e-09,2.2663,1,0,4.5404e-09,1,2.2489,1.32e-09,2.2204e-16,1.4263e-17,
16,0.067052,2.0558e-10,2.4054,1,0,7.0812e-10,1,2.2489,2.172e-10,4.4409e-16,3.3152e-17,
17,0.067052,3.206e-11,2.5521,1,0,1.1044e-10,1,2.2489,7.7075e-11,4.4409e-16,4.5488e-17,
18,0.067052,4.9991e-12,2.6917,1,0,1.7224e-11,1,2.2489,7.0268e-11,2.2204e-16,2.1588e-17,
19,0.067052,7.8522e-13,2.8409,1,0,2.6858e-12,1,2.2489,7.0095e-11,6.6613e-16,3.8935e-17,
20,0.067052,1.6434e-13,2.9912,1,0,4.1906e-13,1,2.2489,7.009e-11,4.4409e-16,2.5057e-17,
21,0.067052,1.1571e-13,3.1283,1,0,5.6683e-14,1,2.2489,7.009e-11,3.5527e-15,3.0878e-16,
22,0.067052,1.1553e-13,3.2664,1,0,8.2892e-15,1,2.2489,7.009e-11,3.6637e-15,3.0069e-16,
23,0.067052,1.1563e-13,3.402,1,0,1.3946e-15,1,2.2489,7.009e-11,3.7748e-15,3.2382e-16,
24,0.067052,1.1553e-13,3.5444,1,0,1.7443e-15,1,2.2489,7.009e-11,3.9968e-15,3.3037e-16,
25,0.067052,1.1563e-13,3.6873,1,0,2.3191e-15,1,2.2489,7.009e-11,3.8858e-15,3.1688e-16,
26,0.067052,1.1573e-13,3.8287,1,0,2.4231e-15,1,2.2489,7.009e-11,3.7748e-15,3.3538e-16,
27,0.067052,1.1571e-13,3.9734,1,0,1.8795e-15,1,2.2489,7.009e-11,3.9968e-15,3.5851e-16,
28,0.067052,1.1571e-13,4.1189,1,0,1.6139e-15,1,2.2489,7.009e-11,3.8858e-15,3.4463e-16,
29,0.067052,1.1568e-13,4.2695,1,0,1.9536e-15,1,2.2489,7.009e-11,3.9968e-15,3.0762e-16,
30,0.067052,1.1578e-13,4.4155,1,0,2.7663e-15,1,2.2489,7.009e-11,4.1078e-15,3.7085e-16,
31,0.067052,1.1556e-13,4.564,1,0,3.2583e-15,1,2.2489,7.009e-11,3.7748e-15,2.9991e-16,
32,0.067052,1.1557e-13,4.7312,1,0,1.7951e-15,1,2.2489,7.009e-11,4.1078e-15,3.1456e-16,
33,0.067052,1.156e-13,4.8919,1,0,1.384e-15,1,2.2489,7.009e-11,3.9968e-15,3.1842e-16,
34,0.067052,1.1552e-13,5.0484,1,0,1.4265e-15,1,2.2489,7.009e-11,4.1078e-15,3.0608e-16,
35,0.067052,1.1566e-13,5.1978,1,0,1.5502e-15,1,2.2489,7.009e-11,4.1078e-15,3.3461e-16,
36,0.067052,1.156e-13,5.3476,1,0,1.6209e-15,1,2.2489,7.009e-11,3.6637e-15,3.1688e-16,
37,0.067052,1.1568e-13,5.4981,1,0,1.6721e-15,1,2.2489,7.009e-11,4.1078e-15,3.3769e-16,
38,0.067052,1.1571e-13,5.6599,1,0,1.5919e-15,1,2.2489,7.009e-11,3.8858e-15,3.4463e-16,
39,0.067052,1.1567e-13,5.8131,1,0,1.6699e-15,1,2.2489,7.009e-11,3.7748e-15,3.3384e-16,
40,0.067052,1.1551e-13,5.9709,1,0,2.1787e-15,1,2.2489,7.009e-11,3.7748e-15,3.1379e-16,
41,0.067052,1.1573e-13,6.1164,1,0,2.2942e-15,1,2.2489,7.009e-11,3.8858e-15,3.4694e-16,
42,0.067052,1.1577e-13,6.2541,1,0,1.1691e-15,1,2.2489,7.009e-11,3.8858e-15,3.4386e-16,
43,0.067052,1.1567e-13,6.3941,1,0,1.4653e-15,1,2.2489,7.009e-11,3.7748e-15,3.269e-16,
44,0.067052,1.1569e-13,6.5267,1,0,1.6004e-15,1,2.2489,7.009e-11,4.1078e-15,3.4078e-16,
45,0.067052,1.1571e-13,6.6611,1,0,1.529e-15,1,2.2489,7.009e-11,3.8858e-15,3.323e-16,
46,0.067052,1.1571e-13,6.7947,1,0,9.7018e-16,1,2.2489,7.009e-11,3.7748e-15,3.2921e-16,
47,0.067052,1.1561e-13,6.9268,1,0,1.0766e-15,1,2.2489,7.009e-11,3.7748e-15,3.1919e-16,
48,0.067052,1.1573e-13,7.0612,1,0,1.3025e-15,1,2.2489,7.009e-11,3.6637e-15,3.2728e-16,
49,0.067052,1.1559e-13,7.1955,1,0,1.3423e-15,1,2.2489,7.009e-11,3.7748e-15,3.1842e-16,
50,0.067052,1.1564e-13,7.329,1,0,1.0645e-15,1,2.2489,7.009e-11,3.8858e-15,3.2844e-16,
51,0.067052,1.1558e-13,7.4636,1,0,1.4137e-15,1,2.2489,7.009e-11,3.7748e-15,3.1765e-16,
52,0.067052,1.1573e-13,7.6042,1,0,1.5499e-15,1,2.2489,7.009e-11,3.7748e-15,3.3577e-16,
53,0.067052,1.157e-13,7.7448,1,0,9.6697e-16,1,2.2489,7.009e-11,3.9968e-15,3.3731e-16,
54,0.067052,1.1566e-13,7.8783,1,0,1.5604e-15,1,2.2489,7.009e-11,3.7748e-15,3.269e-16,
55,0.067052,1.1564e-13,8.0124,1,0,9.0801e-16,1,2.2489,7.009e-11,3.7748e-15,3.2189e-16,
56,0.067052,1.1574e-13,8.1498,1,0,1.2565e-15,1,2.2489,7.009e-11,3.8858e-15,3.3538e-16,
57,0.067052,1.1566e-13,8.2831,1,0,9.8133e-16,1,2.2489,7.009e-11,3.8858e-15,3.2883e-16,
58,0.067052,1.1558e-13,8.4198,1,0,1.5782e-15,1,2.2489,7.009e-11,3.7748e-15,3.1456e-16,
59,0.067052,1.1558e-13,8.5606,1,0,9.7897e-16,1,2.2489,7.009e-11,3.8858e-15,3.1186e-16,
60,0.067052,1.1565e-13,8.6883,1,0,1.7527e-15,1,2.2489,7.009e-11,3.9968e-15,3.2574e-16,
61,0.067052,1.1577e-13,8.8221,1,0,1.8706e-15,1,2.2489,7.009e-11,3.9968e-15,3.4078e-16,
62,0.067052,1.1569e-13,8.9492,1,0,1.6343e-15,1,2.2489,7.009e-11,3.8858e-15,3.2227e-16,
63,0.067052,1.1568e-13,9.0854,1,0,6.6425e-16,1,2.2489,7.009e-11,3.7748e-15,3.215e-16,
64,0.067052,1.156e-13,9.2197,1,0,8.3578e-16,1,2.2489,7.009e-11,3.8858e-15,3.1996e-16,
65,0.067052,1.1571e-13,9.3525,1,0,1.3347e-15,1,2.2489,7.009e-11,3.6637e-15,3.2921e-16,
66,0.067052,1.1559e-13,9.483,1,0,1.285e-15,1,2.2489,7.009e-11,4.1078e-15,3.2304e-16,
67,0.067052,1.1572e-13,9.6178,1,0,1.174e-15,1,2.2489,7.009e-11,3.8858e-15,3.2998e-16,
68,0.067052,1.1563e-13,9.7516,1,0,1.2255e-15,1,2.2489,7.009e-11,3.8858e-15,3.1611e-16,
69,0.067052,1.1569e-13,9.8832,1,0,7.941e-16,1,2.2489,7.009e-11,3.7748e-15,3.2497e-16,
70,0.067052,1.1561e-13,10.0142,1,0,1.4408e-15,1,2.2489,7.009e-11,4.1078e-15,3.0685e-16,
71,0.067052,1.1564e-13,10.1471,1,0,1.5103e-15,1,2.2489,7.009e-11,3.7748e-15,3.2651e-16,
72,0.067052,1.1562e-13,10.2835,1,0,1.5154e-15,1,2.2489,7.009e-11,3.7748e-15,3.2227e-16,
73,0.067052,1.1572e-13,10.4117,1,0,2.08e-15,1,2.2489,7.009e-11,3.7748e-15,3.3461e-16,
74,0.067052,1.1568e-13,10.5463,1,0,1.9724e-15,1,2.2489,7.009e-11,3.8858e-15,3.5851e-16,
75,0.067052,1.1575e-13,10.6771,1,0,1.4853e-15,1,2.2489,7.009e-11,3.8858e-15,3.4694e-16,
76,0.067052,1.1555e-13,10.8073,1,0,2.1464e-15,1,2.2489,7.009e-11,3.7748e-15,3.0223e-16,
77,0.067052,1.1564e-13,10.9398,1,0,1.5023e-15,1,2.2489,7.009e-11,3.6637e-15,3.1957e-16,
78,0.067052,1.1555e-13,11.0724,1,0,1.7301e-15,1,2.2489,7.009e-11,3.6637e-15,3.2536e-16,
79,0.067052,1.1571e-13,11.2017,1,0,1.8516e-15,1,2.2489,7.009e-11,3.7748e-15,3.1688e-16,
80,0.067052,1.1572e-13,11.3351,1,0,1.6289e-15,1,2.2489,7.009e-11,4.1078e-15,3.481e-16,
81,0.067052,1.1568e-13,11.4629,1,0,1.8842e-15,1,2.2489,7.009e-11,3.7748e-15,3.4733e-16,
82,0.067052,1.1566e-13,11.599,1,0,1.8584e-15,1,2.2489,7.009e-11,3.9968e-15,3.1842e-16,
83,0.067052,1.1578e-13,11.7301,1,0,1.9978e-15,1,2.2489,7.009e-11,3.8858e-15,3.4887e-16,
84,0.067052,1.1561e-13,11.8589,1,0,1.7864e-15,1,2.2489,7.009e-11,3.8858e-15,3.4348e-16,
85,0.067052,1.156e-13,11.9886,1,0,1.8856e-15,1,2.2489,7.009e-11,3.6637e-15,3.0223e-16,
86,0.067052,1.1561e-13,12.1194,1,0,1.3056e-15,1,2.2489,7.009e-11,3.8858e-15,3.1148e-16,
87,0.067052,1.1566e-13,12.2487,1,0,1.7549e-15,1,2.2489,7.009e-11,3.6637e-15,3.2844e-16,
88,0.067052,1.1558e-13,12.3877,1,0,2.097e-15,1,2.2489,7.009e-11,4.2188e-15,3.296e-16,
89,0.067052,1.1567e-13,12.5286,1,0,2.4983e-15,1,2.2489,7.009e-11,3.7748e-15,3.0608e-16,
90,0.067052,1.1565e-13,12.6675,1,0,1.6287e-15,1,2.2489,7.009e-11,3.7748e-15,3.2459e-16,
91,0.067052,1.156e-13,12.8041,1,0,1.2614e-15,1,2.2489,7.009e-11,3.7748e-15,3.1842e-16,
92,0.067052,1.1566e-13,12.946,1,0,1.1542e-15,1,2.2489,7.009e-11,3.7748e-15,3.296e-16,
93,0.067052,1.157e-13,13.0742,1,0,1.5317e-15,1,2.2489,7.009e-11,3.9968e-15,3.6583e-16,
94,0.067052,1.1555e-13,13.2008,1,0,2.3766e-15,1,2.2489,7.009e-11,3.6637e-15,3.0415e-16,
95,0.067052,1.1558e-13,13.3346,1,0,1.3415e-15,1,2.2489,7.009e-11,3.7748e-15,3.215e-16,
96,0.067052,1.1556e-13,13.4727,1,0,1.3307e-15,1,2.2489,7.009e-11,3.7748e-15,3.1379e-16,
97,0.067052,1.1558e-13,13.6098,1,0,9.9611e-16,1,2.2489,7.009e-11,3.8858e-15,3.084e-16,
98,0.067052,1.1561e-13,13.7452,1,0,1.4541e-15,1,2.2489,7.009e-11,3.6637e-15,3.1842e-16,
99,0.067052,1.156e-13,13.8808,1,0,1.43e-15,1,2.2489,7.009e-11,3.7748e-15,3.1109e-16,
