"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0,0,13.0747,1,10.3472,10.3472,
1,0.9315,11.6702,3.3333,0,0,1.5487,0.49398,1.1194,0.0027536,
2,1.3053,11.6702,3.3333,0,0,0.0061878,0.083056,0.010244,0.00029744,
3,1.3382,5.2184,3.3333,0,0,0.0026729,0.0049139,0.00012582,0.0001258,
4,1.4183,0.086032,3.3333,3.5051e-05,4.8681e-07,0.0026675,0.0050307,5.397e-05,4.1039e-05,
5,1.4677,0.15906,3.3333,6.2356e-07,8.6605e-09,0.0026675,0.0050328,1.0962e-05,1.0945e-05,
6,2.3325,0.018777,11.1111,0,0,0.0026315,0.0020764,0.00071384,0.00071384,
7,3.1792,3.48,11.1111,0,0,0.0026112,0.00072408,0.00039425,0.00039425,
8,4.0014,1.3062,11.1111,1.1924e-05,1.6561e-07,0.0025698,0.00085657,0.0020227,0.0020226,
9,4.8419,2.9241,37.037,7.5272e-06,1.0454e-07,0.00081929,8.3636e-05,0.001699,0.001699,
10,5.6605,3.6675,37.037,0,0,0.00073295,0,0.0009132,0.0009132,
11,6.5113,0.81376,37.037,0,0,2.8153e-05,0,0.00031619,0.00031619,
12,7.4079,2.4118,37.037,0,0,3.179e-06,0,0.00075142,0.00075142,
13,7.6992,1.1539,37.037,0,0,1.7213e-16,0,4.5906e-09,4.5906e-09,
14,7.7064,0.11236,37.037,0,0,1.3728e-16,0,3.2339e-09,3.2339e-09,
15,7.7231,9.2098e-09,37.037,0,0,1.0596e-17,0,6.4208e-10,6.4208e-10,
16,7.7303,1.1295e-07,37.037,0,0,1.0025e-17,0,3.4737e-10,3.4737e-10,
17,7.7377,1.2378e-09,37.037,0,0,9.4554e-18,0,2.0754e-10,2.0754e-10,
18,7.7463,2.2874e-09,37.037,0,0,9.2686e-18,0,1.9615e-10,1.9615e-10,
19,7.7541,9.328e-10,37.037,0,0,8.9647e-18,0,1.8624e-10,1.8624e-10,
20,7.7621,1.5996e-09,37.037,0,0,8.7945e-18,0,1.82e-10,1.82e-10,
21,7.7693,9.2671e-10,37.037,0,0,8.5073e-18,0,1.7646e-10,1.7646e-10,
22,7.7768,1.6061e-09,37.037,0,0,8.3502e-18,0,1.7342e-10,1.7342e-10,
23,7.784,8.998e-10,37.037,0,0,8.0845e-18,0,1.691e-10,1.691e-10,
24,7.7916,1.5543e-09,37.037,0,0,7.9388e-18,0,1.6661e-10,1.6661e-10,
25,7.799,8.6911e-10,37.037,0,0,7.691e-18,0,1.6294e-10,1.6294e-10,
26,7.8063,1.506e-09,37.037,0,0,7.5549e-18,0,1.6078e-10,1.6078e-10,
27,7.8136,8.4179e-10,37.037,0,0,7.3225e-18,0,1.5754e-10,1.5754e-10,
28,7.8212,1.4622e-09,37.037,0,0,7.1948e-18,0,1.556e-10,1.556e-10,
29,7.8284,8.1665e-10,37.037,0,0,6.9761e-18,0,1.5266e-10,1.5266e-10,
30,7.8374,1.4204e-09,37.037,0,0,6.8558e-18,0,1.5088e-10,1.5088e-10,
31,7.8463,7.9368e-10,37.037,0,0,6.6497e-18,0,1.4817e-10,1.4817e-10,
32,7.8539,1.3796e-09,37.037,0,0,6.5361e-18,0,1.4651e-10,1.4651e-10,
33,7.8615,7.7209e-10,37.037,0,0,6.3415e-18,0,1.4398e-10,1.4398e-10,
34,7.8689,1.3414e-09,37.037,0,0,6.234e-18,0,1.4243e-10,1.4243e-10,
35,7.8763,7.5132e-10,37.037,0,0,6.0498e-18,0,1.4004e-10,1.4004e-10,
36,7.8836,1.3054e-09,37.037,0,0,5.9479e-18,0,1.3857e-10,1.3857e-10,
37,7.8909,7.3178e-10,37.037,0,0,5.7734e-18,0,1.3631e-10,1.3631e-10,
38,7.8983,1.271e-09,37.037,0,0,5.6769e-18,0,1.3491e-10,1.3491e-10,
39,7.9056,7.1265e-10,37.037,0,0,5.5112e-18,0,1.3276e-10,1.3276e-10,
40,7.9129,1.2394e-09,37.037,0,0,5.4195e-18,0,1.3142e-10,1.3142e-10,
41,7.9205,6.943e-10,37.037,0,0,5.2622e-18,0,1.2936e-10,1.2936e-10,
42,7.9283,1.2081e-09,37.037,0,0,5.1751e-18,0,1.2808e-10,1.2808e-10,
43,7.9372,6.7693e-10,37.037,0,0,5.0255e-18,0,1.261e-10,1.261e-10,
44,7.9448,1.1784e-09,37.037,0,0,4.9427e-18,0,1.2487e-10,1.2487e-10,
45,7.9527,6.6025e-10,37.037,0,0,4.8004e-18,0,1.2296e-10,1.2296e-10,
46,7.9602,1.1493e-09,37.037,0,0,4.7217e-18,0,1.2178e-10,1.2178e-10,
47,7.9675,6.4382e-10,37.037,0,0,4.5862e-18,0,1.1993e-10,1.1993e-10,
48,7.9748,1.1218e-09,37.037,0,0,4.5113e-18,0,1.1879e-10,1.1879e-10,
49,7.9822,6.2806e-10,37.037,0,0,4.3824e-18,0,1.1701e-10,1.1701e-10,
50,7.9892,1.0947e-09,37.037,0,0,4.3111e-18,0,1.159e-10,1.159e-10,
51,7.9966,6.1284e-10,37.037,0,0,4.1883e-18,0,1.1417e-10,1.1417e-10,
52,8.0039,1.0684e-09,37.037,0,0,4.1204e-18,0,1.131e-10,1.131e-10,
53,8.0112,5.982e-10,37.037,0,0,4.0035e-18,0,1.1143e-10,1.1143e-10,
54,8.019,1.0423e-09,37.037,0,0,3.9387e-18,0,1.1038e-10,1.1038e-10,
55,8.0273,5.842e-10,37.037,0,0,3.8274e-18,0,1.0876e-10,1.0876e-10,
56,8.0352,1.0173e-09,37.037,0,0,3.7657e-18,0,1.0775e-10,1.0775e-10,
57,8.0431,5.7034e-10,37.037,0,0,3.6595e-18,0,1.0617e-10,1.0617e-10,
58,8.0506,9.931e-10,37.037,0,0,3.6008e-18,0,1.0518e-10,1.0518e-10,
59,8.0583,5.5673e-10,37.037,0,0,3.4996e-18,0,1.0365e-10,1.0365e-10,
60,8.0654,9.6934e-10,37.037,0,0,3.4436e-18,0,1.0269e-10,1.0269e-10,
61,8.0729,5.4379e-10,37.037,0,0,3.3472e-18,0,1.0119e-10,1.0119e-10,
62,8.0805,9.4583e-10,37.037,0,0,3.2938e-18,0,1.0026e-10,1.0026e-10,
63,8.0878,5.312e-10,37.037,0,0,3.202e-18,0,9.8805e-11,9.8805e-11,
64,8.0951,9.2309e-10,37.037,0,0,3.151e-18,0,9.7896e-11,9.7896e-11,
65,8.1025,5.1888e-10,37.037,0,0,3.0635e-18,0,9.648e-11,9.648e-11,
66,8.1098,9.0054e-10,37.037,0,0,3.0149e-18,0,9.5593e-11,9.5593e-11,
67,8.1177,5.0716e-10,37.037,0,0,2.9316e-18,0,9.4215e-11,9.4215e-11,
68,8.126,8.7843e-10,37.037,0,0,2.8851e-18,0,9.335e-11,9.335e-11,
69,8.1338,4.9551e-10,37.037,0,0,2.8057e-18,0,9.2006e-11,9.2006e-11,
70,8.1418,8.5765e-10,37.037,0,0,2.7614e-18,0,9.1163e-11,9.1163e-11,
71,8.1488,4.8394e-10,37.037,0,0,2.6857e-18,0,8.9853e-11,8.9853e-11,
72,8.1565,8.3781e-10,37.037,0,0,2.6435e-18,0,8.9031e-11,8.9031e-11,
73,8.1637,4.7241e-10,37.037,0,0,2.5711e-18,0,8.7752e-11,8.7752e-11,
74,8.1709,8.1908e-10,37.037,0,0,2.5309e-18,0,8.695e-11,8.695e-11,
75,8.1783,4.6091e-10,37.037,0,0,2.4618e-18,0,8.5702e-11,8.5702e-11,
76,8.1853,8.0054e-10,37.037,0,0,2.4235e-18,0,8.492e-11,8.492e-11,
77,8.1924,4.5017e-10,37.037,0,0,2.3576e-18,0,8.3702e-11,8.3702e-11,
78,8.1999,7.8164e-10,37.037,0,0,2.321e-18,0,8.2939e-11,8.2939e-11,
79,8.2074,4.4004e-10,37.037,0,0,2.2582e-18,0,8.1751e-11,8.1751e-11,
80,8.2163,7.6263e-10,37.037,0,0,2.2233e-18,0,8.1007e-11,8.1007e-11,
81,8.2244,4.2991e-10,37.037,0,0,2.1635e-18,0,7.9849e-11,7.9849e-11,
82,8.2323,7.4412e-10,37.037,0,0,2.1301e-18,0,7.9122e-11,7.9122e-11,
83,8.2398,4.2039e-10,37.037,0,0,2.0732e-18,0,7.7995e-11,7.7995e-11,
84,8.2471,7.2528e-10,37.037,0,0,2.0413e-18,0,7.7285e-11,7.7285e-11,
85,8.2543,4.1122e-10,37.037,0,0,1.987e-18,0,7.6185e-11,7.6185e-11,
86,8.2617,7.0796e-10,37.037,0,0,1.9565e-18,0,7.5492e-11,7.5492e-11,
87,8.2688,4.0178e-10,37.037,0,0,1.9048e-18,0,7.4419e-11,7.4419e-11,
88,8.2761,6.9133e-10,37.037,0,0,1.8757e-18,0,7.3743e-11,7.3743e-11,
89,8.2831,3.9239e-10,37.037,0,0,1.8263e-18,0,7.2696e-11,7.2696e-11,
90,8.2902,6.7505e-10,37.037,0,0,1.7986e-18,0,7.2036e-11,7.2036e-11,
91,8.2976,3.8345e-10,37.037,0,0,1.7515e-18,0,7.1014e-11,7.1014e-11,
92,8.3052,6.5971e-10,37.037,0,0,1.725e-18,0,7.0369e-11,7.0369e-11,
93,8.3137,3.7438e-10,37.037,0,0,1.68e-18,0,6.9371e-11,6.9371e-11,
94,8.3218,6.4485e-10,37.037,0,0,1.6548e-18,0,6.8742e-11,6.8742e-11,
95,8.3293,3.6566e-10,37.037,0,0,1.6118e-18,0,6.7769e-11,6.7769e-11,
96,8.3369,6.2984e-10,37.037,0,0,1.5877e-18,0,6.7155e-11,6.7155e-11,
97,8.3445,3.5739e-10,37.037,0,0,1.5468e-18,0,6.6205e-11,6.6205e-11,
98,8.3517,6.1454e-10,37.037,0,0,1.5238e-18,0,6.5606e-11,6.5606e-11,
99,8.3592,3.4915e-10,37.037,0,0,1.4847e-18,0,6.468e-11,6.468e-11,
100,8.368,6.0023e-10,37.037,0,0,1.4628e-18,0,6.4094e-11,6.4094e-11,
101,8.3783,3.4148e-10,37.037,0,0,1.4255e-18,0,6.319e-11,6.319e-11,
102,8.3862,5.8601e-10,37.037,0,0,1.4045e-18,0,6.2619e-11,6.2619e-11,
103,8.3936,3.3371e-10,37.037,0,0,1.369e-18,0,6.1737e-11,6.1737e-11,
104,8.4021,5.7227e-10,37.037,0,0,1.3489e-18,0,6.1179e-11,6.1179e-11,
105,8.4106,3.2604e-10,37.037,0,0,1.315e-18,0,6.0319e-11,6.0319e-11,
106,8.4189,5.589e-10,37.037,0,0,1.2959e-18,0,5.9775e-11,5.9775e-11,
107,8.4266,3.1868e-10,37.037,0,0,1.2635e-18,0,5.8935e-11,5.8935e-11,
108,8.4344,5.4619e-10,37.037,0,0,1.2453e-18,0,5.8403e-11,5.8403e-11,
109,8.4421,3.1132e-10,37.037,0,0,1.2144e-18,0,5.7584e-11,5.7584e-11,
110,8.4496,5.3329e-10,37.037,0,0,1.1969e-18,0,5.7065e-11,5.7065e-11,
111,8.4572,3.0439e-10,37.037,0,0,1.1674e-18,0,5.6266e-11,5.6266e-11,
112,8.4647,5.2071e-10,37.037,0,0,1.1508e-18,0,5.576e-11,5.576e-11,
113,8.4722,2.9757e-10,37.037,0,0,1.1227e-18,0,5.4981e-11,5.4981e-11,
114,8.4798,5.0812e-10,37.037,0,0,1.1067e-18,0,5.4486e-11,5.4486e-11,
115,8.4874,2.9108e-10,37.037,0,0,1.0799e-18,0,5.3727e-11,5.3727e-11,
116,8.4958,4.958e-10,37.037,0,0,1.0647e-18,0,5.3243e-11,5.3243e-11,
117,8.5037,2.8463e-10,37.037,0,0,1.0391e-18,0,5.2502e-11,5.2502e-11,
118,8.5114,4.845e-10,37.037,0,0,1.0246e-18,0,5.2031e-11,5.2031e-11,
119,8.519,2.7806e-10,37.037,0,0,1.0002e-18,0,5.1307e-11,5.1307e-11,
120,8.5264,4.7375e-10,37.037,0,0,9.863e-19,0,5.0847e-11,5.0847e-11,
121,8.534,2.7161e-10,37.037,0,0,9.6294e-19,0,5.0141e-11,5.0141e-11,
122,8.5443,4.6292e-10,37.037,0,0,9.497e-19,0,4.9692e-11,4.9692e-11,
123,8.5519,2.6548e-10,37.037,0,0,9.2737e-19,0,4.9003e-11,4.9003e-11,
124,8.5595,4.5288e-10,37.037,0,0,9.1473e-19,0,4.8565e-11,4.8565e-11,
125,8.5669,2.593e-10,37.037,0,0,8.9342e-19,0,4.7892e-11,4.7892e-11,
126,8.5742,4.4219e-10,37.037,0,0,8.8133e-19,0,4.7464e-11,4.7464e-11,
127,8.5816,2.5381e-10,37.037,0,0,8.6101e-19,0,4.6809e-11,4.6809e-11,
128,8.5895,4.3133e-10,37.037,0,0,8.4945e-19,0,4.6391e-11,4.6391e-11,
129,8.5976,2.4823e-10,37.037,0,0,8.3005e-19,0,4.5752e-11,4.5752e-11,
130,8.6058,4.2146e-10,37.037,0,0,8.1901e-19,0,4.5344e-11,4.5344e-11,
131,8.6134,2.4265e-10,37.037,0,0,8.0047e-19,0,4.472e-11,4.472e-11,
132,8.6211,4.1194e-10,37.037,0,0,7.8991e-19,0,4.4322e-11,4.4322e-11,
133,8.6284,2.3743e-10,37.037,0,0,7.7227e-19,0,4.3716e-11,4.3716e-11,
134,8.6359,4.0104e-10,37.037,0,0,7.6215e-19,0,4.3327e-11,4.3327e-11,
135,8.6434,2.3272e-10,37.037,0,0,7.4531e-19,0,4.2735e-11,4.2735e-11,
136,8.6509,3.9183e-10,37.037,0,0,7.3565e-19,0,4.2356e-11,4.2356e-11,
137,8.6584,2.2721e-10,37.037,0,0,7.1952e-19,0,4.1778e-11,4.1778e-11,
138,8.6658,3.8369e-10,37.037,0,0,7.103e-19,0,4.1408e-11,4.1408e-11,
139,8.6733,2.2177e-10,37.037,0,0,6.9486e-19,0,4.0843e-11,4.0843e-11,
140,8.6812,3.7577e-10,37.037,0,0,6.8606e-19,0,4.0482e-11,4.0482e-11,
141,8.6893,2.1656e-10,37.037,0,0,6.7128e-19,0,3.993e-11,3.993e-11,
142,8.6971,3.6795e-10,37.037,0,0,6.6288e-19,0,3.9578e-11,3.9578e-11,
143,8.7052,2.1155e-10,37.037,0,0,6.4872e-19,0,3.9039e-11,3.9039e-11,
144,8.7127,3.6041e-10,37.037,0,0,6.4069e-19,0,3.8696e-11,3.8696e-11,
145,8.7202,2.0675e-10,37.037,0,0,6.2716e-19,0,3.8169e-11,3.8169e-11,
146,8.7276,3.5237e-10,37.037,0,0,6.1949e-19,0,3.7835e-11,3.7835e-11,
147,8.7349,2.0201e-10,37.037,0,0,6.0655e-19,0,3.7321e-11,3.7321e-11,
148,8.7422,3.4446e-10,37.037,0,0,5.9921e-19,0,3.6995e-11,3.6995e-11,
149,8.7495,1.9774e-10,37.037,0,0,5.8684e-19,0,3.6494e-11,3.6494e-11,
