"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,3.5867,6.2421,4.2664e-05,NaN,NaN,NaN,NaN,1,6.4003,0,0,
1,2.5629,1.9821,0.11967,3.2792e-05,0,3.3369,1,1,1.9837,0.012073,0.00099015,
2,0.44021,0.77153,0.19194,1,0,4.8622,1,1,0.77733,0,0,
3,0.19798,0.39805,0.26389,0.9,0,3.9272,1,1,0.39929,0,0,
4,0.075503,0.28229,0.33659,0.9,0,1.6728,1,1,0.2826,0.012036,0.00024071,
5,0.024973,0.11109,0.4083,1,0,3.5149,1,1,0.11109,0,0,
6,0.017619,0.056376,0.48393,0.53144,0,1.2072,1,1,0.056425,0,0,
7,0.0053496,0.055846,0.559,0.6561,0,0.93836,1,1,0.056431,0.0071052,0.00014861,
8,0.004044,0.071398,0.64349,0.07179,0,0.86559,1,1,0.072112,0.0078963,0.00015793,
9,0.011181,0.075387,0.72434,0.34868,0,1.8384,1,1,0.075397,0,0,
10,0.010017,0.080478,0.80379,0.16677,0,0.95541,1,1,0.080559,0,0,
11,0.0047751,0.042016,0.87531,0.81,0,1.319,1,1,0.042016,0,0,
12,0.002759,0.049372,0.95273,0.6561,0,2.3961,1,1,0.049381,0,0,
13,0.0018953,0.032349,1.0325,0.22877,0,0.72896,1,1,0.032351,0,0,
14,0.0015478,0.02776,1.113,0.28243,0,1.1821,1,1,0.027796,0,0,
15,0.0012555,0.02629,1.1916,0.4783,0,0.72165,1,1,0.02629,0,0,
16,0.0011686,0.022169,1.2715,0.16677,0,0.85794,1,1,0.02217,0,0,
17,0.00092238,0.020345,1.3486,0.43047,0,0.98136,1,1,0.020345,0,0,
18,0.00086565,0.015901,1.4304,0.10942,0,0.49634,1,1,0.015902,0,0,
19,0.00082674,0.013937,1.51,0.13509,0,0.46796,1,1,0.013944,0,0,
20,0.00075064,0.013748,1.5878,0.38742,0,0.70663,1,1,0.013748,0,0,
21,0.00067772,0.010242,1.6642,0.4783,0,0.81787,1,1,0.010242,0,0,
22,0.00062368,0.0070678,1.7461,0.1853,0,0.55176,1,1,0.0070706,0,0,
23,0.00058264,0.0050736,1.8254,0.4783,0,0.8024,1,1,0.0050736,0,0,
24,0.00056794,0.0062593,1.9072,0.1853,0,0.65255,1,1,0.0062594,0,0,
25,0.00053666,0.0026697,1.9854,1,0,0.58389,1,1,0.0026697,0,0,
26,0.00053004,0.0020501,2.0613,0.59049,0,0.5789,1,1,0.0020501,0,0,
27,0.00052846,0.0025319,2.1458,0.1853,0,0.24942,1,1,0.0025319,0,0,
28,0.00052074,0.00040226,2.2244,1,0,0.30446,1,1,0.00040226,0,0,
29,0.00052008,0.00077382,2.3237,0.20589,0,0.16198,1,1,0.00077382,0,0,
30,0.00051832,2.2776e-05,2.41,1,0,0.20361,1,1,2.2776e-05,0,0,
31,0.00051797,0.00074108,2.4984,0.22877,0,0.15589,1,1,0.00074108,0,0,
32,0.00051669,3.26e-05,2.5756,1,0,0.18283,1,1,3.26e-05,0,0,
33,0.00051633,0.00066629,2.658,0.28243,0,0.16052,1,1,0.00066629,0,0,
34,0.00051533,4.7868e-05,2.7336,1,0,0.15452,1,1,4.7868e-05,0,0,
35,0.00051509,0.00073854,2.8136,0.38742,0,0.18221,1,1,0.00073854,0,0,
36,0.00051412,4.3509e-05,2.8908,1,0,0.13201,1,1,4.3509e-05,0,0,
37,0.00051393,0.0007207,2.9702,0.729,0,0.20278,1,1,0.0007207,0,0,
38,0.00051316,2.4283e-05,3.0452,1,0,0.076554,1,1,2.4283e-05,0,0,
39,0.00051303,0.00017614,3.1234,1,0,0.098182,1,1,0.00017614,0,0,
