"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0,0,48.9935,1,6.4115,6.4115,
1,0.37346,12.041,3.3333,2.9054,0.077791,13.9569,3.9054,11.8879,0.00081089,
2,1.6081,12.041,3.3333,0.6417,0.019515,24.0774,6.0444,3.9913,0.0022871,
3,2.711,16.1355,3.3333,0.14619,0.0046418,27.7193,6.5317,0.97847,0.0052064,
4,3.7555,4.692,3.3333,0.02891,0.0016669,28.6093,6.6281,0.20002,0.0034478,
5,4.8396,3.1314,3.3333,0.0091172,0.00066561,28.7973,6.6434,0.036647,0.0015182,
6,5.9036,7.3818,11.1111,0.003427,0.00012301,28.8384,6.6433,0.0089799,0.0052417,
7,7.2254,3.838,11.1111,0.0013151,4.2353e-05,28.84,6.6453,0.0062097,0.0054809,
8,8.4092,3.2804,11.1111,0.00052593,2.9456e-05,28.842,6.6424,0.0061064,0.0055633,
9,9.6847,1.882,37.037,0.0015746,3.8399e-05,28.8412,6.6405,0.0024055,0.00070102,
10,10.9581,1.7411,37.037,0.00020983,5.4752e-06,28.8398,6.6408,0.0019553,0.0017179,
11,12.1611,0.84521,37.037,0.00019649,3.9434e-06,28.84,6.6398,0.0020932,0.0019175,
12,13.435,0.22676,123.4568,0.00059942,1.6533e-05,28.8393,6.6394,0.0017658,0.0015115,
13,14.6671,3.3655,411.5226,0.00021979,4.8969e-06,28.839,6.6398,0.0046164,0.0045958,
14,15.9416,0.5132,411.5226,8.014e-05,2.4189e-06,28.8389,6.6417,0.0079957,0.0079951,
15,17.2144,0.26188,411.5226,9.5233e-06,3.9896e-07,28.8389,6.6387,0.0073192,0.007319,
16,18.4791,0.25898,411.5226,9.4836e-06,3.8779e-07,28.8387,6.6411,0.011268,0.011268,
17,19.7746,0.90182,1371.7421,1.3671e-05,6.2059e-07,28.8385,6.6458,0.0076625,0.0076621,
18,21.0585,0.24094,1371.7421,4.7198e-06,1.8201e-07,28.8386,6.635,0.0086682,0.0086681,
19,22.3466,0.12159,4572.4737,9.875e-06,2.4874e-07,28.8385,6.6174,0.024907,0.024906,
20,23.6402,0.64266,4572.4737,7.3718e-06,3.3838e-07,28.8383,6.6511,0.03187,0.03187,
21,24.8991,0.066221,15241.579,7.8772e-06,2.0232e-07,28.8383,6.6509,0.042903,0.042903,
22,26.272,0.25472,15241.579,1.5888e-06,4.7584e-08,28.8383,6.641,0.0027089,0.0027089,
23,27.5953,0.016257,15241.579,5.3997e-07,2.812e-08,28.8383,6.6367,0.01257,0.01257,
24,28.8695,0.035935,50805.2634,2.4994e-06,9.7284e-08,28.8383,6.6748,0.038919,0.038919,
25,30.1864,0.073515,50805.2634,6.3166e-07,1.2636e-08,28.8383,6.6385,0.049165,0.049165,
26,31.5138,0.025827,169350.8781,6.7291e-07,2.4263e-08,28.8383,6.61,0.041475,0.041475,
27,32.9178,0.058335,169350.8781,3.8349e-07,1.0959e-08,28.8383,6.6749,0.040607,0.040607,
28,34.2746,0.013235,169350.8781,8.9622e-08,3.6721e-09,28.8383,6.6811,0.05099,0.05099,
29,35.6093,0.021773,564502.9269,1.5148e-07,4.5795e-09,28.8383,6.6404,0.00054417,0.00054417,
30,35.6566,0.0081042,564502.9269,3.922e-10,1.4768e-11,28.8383,6.6406,0.00041492,0.00041492,
31,35.6894,3.0677e-07,564502.9269,3.1392e-11,1.2884e-12,28.8383,6.6404,0.00037263,0.00037263,
32,35.7182,2.3442e-09,564502.9269,2.1129e-10,4.7697e-12,28.8383,6.6404,0.00038235,0.00038235,
33,35.7502,6.3799e-09,1881676.4232,5.738e-12,2.8499e-13,28.8383,6.6404,0.00045811,0.00045811,
34,35.7815,1.366e-08,1881676.4232,2.0027e-10,4.8356e-12,28.8383,6.6403,0.00041693,0.00041693,
35,35.8134,1.8315e-09,1881676.4232,2.8995e-11,9.607e-13,28.8383,6.6403,0.00040468,0.00040468,
36,35.8433,1.0198e-09,6272254.7439,2.0469e-10,5.9459e-12,28.8383,6.6399,0.000717,0.000717,
37,35.8773,3.2088e-09,6272254.7439,7.4621e-11,2.6784e-12,28.8383,6.6404,0.00039553,0.00039553,
38,35.9109,4.744e-10,6272254.7439,1.0179e-11,3.3469e-13,28.8383,6.6404,0.00037287,0.00037287,
39,35.9472,2.4877e-10,20907515.8129,5.3054e-11,2.6137e-12,28.8383,6.6408,0.00055846,0.00055846,
40,35.9831,8.0476e-10,20907515.8129,2.9397e-12,1.7611e-13,28.8383,6.6405,0.00039724,0.00039724,
41,36.0176,1.0786e-10,20907515.8129,2.9293e-13,1.248e-14,28.8383,6.6404,0.00037288,0.00037288,
42,36.0495,6.5058e-11,69691719.3763,1.1531e-11,4.4729e-13,28.8383,6.6399,0.00073334,0.00073334,
43,36.1075,3.8826e-10,232305731.2542,1.1531e-11,4.4729e-13,28.8383,6.6381,0.002742,0.002742,
44,36.1676,0,774352437.514,1.1531e-11,4.4729e-13,28.8383,6.632,0.0096738,0.0096738,
45,36.2225,0,2581174791.7132,1.1531e-11,4.4729e-13,28.8383,6.6119,0.032836,0.032836,
46,36.2766,0,8603915972.3773,1.1531e-11,4.4729e-13,28.8383,6.5449,0.11006,0.11006,
47,36.33,0,28679719907.9244,1.1531e-11,4.4729e-13,28.8383,6.3214,0.36747,0.36747,
48,36.3838,0,95599066359.7481,1.1531e-11,4.4729e-13,28.8383,5.5765,1.2201,1.2201,
49,36.4415,0,318663554532.4938,1.1531e-11,4.4729e-13,28.8383,3.0934,4.0296,4.0296,
50,36.4961,0,318663554532.4938,1.1531e-11,4.4729e-13,28.8383,5.2523,8.6883,8.6883,
51,36.5532,0,1062211848441.646,1.1531e-11,4.4729e-13,28.8383,8.9268,10.8309,10.8309,
52,36.6076,0,3540706161472.154,1.1531e-11,4.4729e-13,28.8383,20,20.3304,20.3304,
53,36.6645,0,11802353871573.85,1.1531e-11,4.4729e-13,28.8383,20,55.3705,55.3705,
54,36.7215,0,39341179571912.82,1.1531e-11,4.4729e-13,28.8383,20,150.5953,150.5953,
55,36.7791,0,131137265239709.4,1.1531e-11,4.4729e-13,28.8383,20,438.7349,438.7349,
56,36.8366,0,437124217465698.1,1.1531e-11,4.4729e-13,28.8383,20,1387.4146,1387.4146,
57,36.8932,0,1457080724885660,1.1531e-11,4.4729e-13,28.8383,20,4549.0491,4549.0491,
58,36.9502,0,4856935749618868,1.1531e-11,4.4729e-13,28.8383,20,15088.2182,15088.2182,
59,37.0062,0,1.618978583206289e+16,1.1531e-11,4.4729e-13,28.8383,20,50218.8458,50218.8458,
60,37.0632,0,5.396595277354298e+16,1.1531e-11,4.4729e-13,28.8383,20,167320.9308,167320.9308,
61,37.1216,0,1.798865092451433e+17,1.1531e-11,4.4729e-13,28.8383,20,557661.225,557661.225,
62,37.1781,0,5.996216974838111e+17,1.1531e-11,4.4729e-13,28.8383,20,1858795.5424,1858795.5424,
63,37.2339,0,1.998738991612704e+18,1.1531e-11,4.4729e-13,28.8383,20,6195909.9348,6195909.9348,
64,37.29,0,6.662463305375679e+18,1.1531e-11,4.4729e-13,28.8383,20,20652957.9096,20652957.9096,
65,37.3456,0,2.220821101791893e+19,1.1531e-11,4.4729e-13,28.8383,20,68843117.8259,68843117.8259,
66,37.4016,0,7.402737005972978e+19,1.1531e-11,4.4729e-13,28.8383,20,229476984.2135,229476984.2135,
67,37.4612,0,2.467579001990993e+20,1.1531e-11,4.4729e-13,28.8383,20,764923205.5055,764923205.5055,
68,37.517,0,8.225263339969975e+20,1.1531e-11,4.4729e-13,28.8383,20,2549743943.1456,2549743943.1456,
69,37.5726,0,2.741754446656658e+21,1.1531e-11,4.4729e-13,28.8383,20,8499146401.9458,8499146401.9458,
70,37.6274,0,9.139181488855528e+21,1.1531e-11,4.4729e-13,28.8383,20,28330487931.2798,28330487931.2798,
71,37.6815,0,3.046393829618509e+22,1.1531e-11,4.4729e-13,28.8383,20,94434959695.7264,94434959695.7264,
72,37.7364,0,1.015464609872836e+23,1.1531e-11,4.4729e-13,28.8383,20,314783198910.5486,314783198910.5486,
73,37.7909,0,3.384882032909455e+23,1.1531e-11,4.4729e-13,28.8383,20,1049277329626.623,1049277329626.623,
74,37.8445,0,1.128294010969818e+24,1.1531e-11,4.4729e-13,28.8383,20,3497591098680.203,3497591098680.203,
75,37.8987,0,3.760980036566062e+24,1.1531e-11,4.4729e-13,28.8383,20,11658636995525.47,11658636995525.47,
76,37.9545,0,1.253660012188687e+25,1.1531e-11,4.4729e-13,28.8383,20,38862123318343.02,38862123318343.02,
77,38.0082,0,4.178866707295624e+25,1.1531e-11,4.4729e-13,28.8383,20,129540411061068.2,129540411061068.2,
78,38.0616,0,1.392955569098541e+26,1.1531e-11,4.4729e-13,28.8383,20,431801370203485.6,431801370203485.6,
79,38.1162,0,4.643185230328472e+26,1.1531e-11,4.4729e-13,28.8383,20,1439337900678210,1439337900678210,
