"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0,0,12.1201,1,5.5803,5.5803,
1,0.048456,6.0151,3.3333,0.014874,0.00046482,4.9604,1.0149,0.94852,0.082934,
2,0.084803,6.0151,3.3333,0.013395,0.0004186,2.5238,1.0595,0.10795,0.059226,
3,0.10206,1.9508,3.3333,0.0014357,4.4864e-05,2.3147,1.0643,0.053325,0.0502,
4,0.11894,0.19235,3.3333,0.0028119,9.7661e-05,2.2642,1.0631,0.041058,0.040865,
5,0.13146,0.053007,11.1111,0.012998,0.00052535,2.2544,1.0616,0.037461,0.035087,
6,0.14699,0.020061,11.1111,0.00013034,4.073e-06,2.257,1.0594,0.019031,0.019021,
7,0.16147,0.01613,11.1111,0.00085141,8.8688e-05,2.2546,1.0584,0.020948,0.02092,
8,0.17666,0.0058602,37.037,0.00014001,4.3753e-06,2.2564,1.0574,0.019603,0.019598,
9,0.19386,0.005686,37.037,0.00024294,3.4864e-05,2.2547,1.0579,0.015723,0.015718,
10,0.22721,0.0026449,37.037,7.7704e-05,5.1371e-06,2.2548,1.0533,0.0024461,0.0024391,
11,0.23477,0.050051,123.4568,7.7704e-05,5.1371e-06,2.2548,1.0487,0.008034,0.0080319,
12,0.25246,0,123.4568,4.0157e-05,4.9077e-06,2.2545,1.0537,0.0020153,0.0020138,
13,0.27029,0.00029549,123.4568,9.4752e-07,7.888e-08,2.2546,1.0534,0.0020334,0.0020334,
14,0.27774,7.9657e-05,411.5226,9.4752e-07,7.888e-08,2.2546,1.0532,0.0022832,0.0022831,
15,0.28714,0,1371.7421,9.4752e-07,7.888e-08,2.2546,1.0526,0.0038968,0.0038968,
16,0.31055,0,1371.7421,1.2593e-06,2.3944e-07,2.2546,1.0538,0.0019979,0.0019979,
17,0.32842,8.6299e-06,1371.7421,2.2293e-07,1.8419e-08,2.2546,1.0533,0.0024002,0.0024002,
18,0.35152,4.4176e-06,1371.7421,4.336e-07,8.291e-08,2.2546,1.0537,0.0019602,0.0019602,
19,0.39639,7.0553e-06,4572.4737,5.8045e-07,7.8331e-08,2.2546,1.0535,0.0014315,0.0014315,
20,0.4158,0.0022329,4572.4737,5.743e-08,4.494e-09,2.2546,1.0534,0.00072761,0.00072761,
21,0.43466,1.3508e-06,4572.4737,9.7596e-08,1.6069e-08,2.2546,1.0539,0.00048179,0.00048179,
22,0.45614,5.5768e-07,4572.4737,1.112e-08,9.4208e-10,2.2546,1.0537,0.0004309,0.0004309,
23,0.47823,3.4514e-07,15241.579,4.5968e-08,8.6632e-09,2.2546,1.0539,0.00049969,0.00049969,
24,0.50074,3.293e-07,15241.579,3.0646e-09,2.5927e-10,2.2546,1.0538,0.00041482,0.00041482,
25,0.56127,1.3481e-07,50805.2634,1.3792e-08,9.9549e-10,2.2546,1.054,0.00027091,0.00027091,
26,0.58532,0.00064319,50805.2634,3.3693e-09,1.7537e-10,2.2546,1.0538,0.00018384,0.00018384,
27,0.60955,2.678e-08,50805.2634,2.4233e-09,7.8549e-11,2.2546,1.0539,0.00021798,0.00021798,
28,0.63612,1.5812e-08,50805.2634,1.7133e-09,8.5946e-11,2.2546,1.0538,0.00018073,0.00018073,
29,0.66172,1.8101e-08,50805.2634,2.6988e-11,5.2209e-12,2.2546,1.0538,0.00018071,0.00018071,
30,0.69761,3.2415e-08,169350.8781,6.0555e-10,1.1722e-10,2.2546,1.0539,0.00012134,0.00012134,
31,0.72404,0.0002584,169350.8781,5.3869e-11,4.6253e-12,2.2546,1.0538,8.6336e-05,8.6336e-05,
