"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0,0,22.1047,0,3.8877,
1,0.093532,5.9033,0.097181,0.017251,6.9857,0.97181,0.3133,
2,0.14201,5.9033,0.06687,0.011611,7.1546,0.98152,0.2103,
3,0.16998,0.21423,0.053812,0.0082284,7.2628,1,0.15759,
4,0.21478,0.049061,0.033029,0.0055464,7.3515,1,0.1073,
5,0.26926,0.046772,0.022336,0.0037993,7.409,1,0.077941,
6,0.3058,0.040583,0.020675,0.0026883,7.4434,1,0.058554,
7,0.41457,0.015962,0.015928,0.0018431,7.4694,1,0.039414,
8,0.4561,0.14728,0.014821,0.0013373,7.4857,1,0.032244,
9,0.49945,0.0073895,0.014158,0.0010011,7.4963,1,0.028455,
10,0.57661,0.0048259,0.0068928,0.00062409,7.5109,1,0.015441,
11,0.61973,0.016004,0.0067654,0.00047067,7.5158,1,0.013081,
12,0.65992,0.0022642,0.0066749,0.00036721,7.519,1,0.012039,
13,0.80318,0.0015197,0.015085,0.00048381,7.5117,1,0.022631,
14,1.8069,0.050807,0.12992,0.0027026,7.3917,1,0.18377,
15,1.8447,0.4429,0.12987,0.0026685,7.3927,1,0.1837,
16,1.8877,0.00047589,0.12984,0.0026452,7.3934,1,0.18365,
17,2.0073,0.00032444,0.12825,0.002598,7.3955,1,0.18139,
18,2.0807,0.0041874,0.12824,0.0025872,7.3958,1,0.18136,
19,2.1331,0.00015029,0.12823,0.0025799,7.396,1,0.18135,
20,2.1852,0.00010253,0.12822,0.0025749,7.3962,1,0.18134,
21,2.4236,6.9867e-05,0.12883,0.0025836,7.3957,1,0.18219,
22,2.4723,0.0015802,0.12882,0.0025813,7.3957,1,0.18218,
23,2.5592,3.2437e-05,0.12882,0.0025797,7.3958,1,0.18218,
24,2.7135,2.2097e-05,0.12866,0.0025754,7.396,1,0.18195,
25,2.7966,0.00091213,0.12865,0.0025746,7.396,1,0.18195,
26,2.8506,1.0256e-05,0.12865,0.0025741,7.396,1,0.18195,
27,2.9058,6.9874e-06,0.12865,0.0025738,7.396,1,0.18195,
28,2.956,4.7601e-06,0.12865,0.0025736,7.396,1,0.18195,
29,3.0114,3.2434e-06,0.12865,0.0025734,7.396,1,0.18195,
30,3.0658,2.2092e-06,0.12865,0.0025733,7.396,1,0.18195,
31,3.1254,1.5054e-06,0.12865,0.0025732,7.396,1,0.18195,
32,3.1667,1.0255e-06,0.12865,0.0025732,7.396,1,0.18194,
33,3.1963,9.1699e-08,0.12865,0.0025732,7.396,1,0.18194,
34,3.2284,5.4626e-09,0.12865,0.0025732,7.396,1,0.18194,
35,3.4151,1.1252e-09,0.12877,0.0025755,7.3959,1,0.18211,
36,3.8443,0.00055568,0.12879,0.002576,7.3959,1,0.18214,
37,3.8521,0.00084237,0.12879,0.002576,7.3959,1,0.18214,
38,3.8598,0,0.12879,0.002576,7.3959,1,0.18214,
