"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0,0,21.3362,0.5,3.606,
1,0.098191,6.8444,3.2045,0.23592,3.6228,1,5.4797,
2,0.11517,6.8444,3.2052,0.22938,3.6944,1,5.4575,
3,0.13139,0.20471,3.2091,0.22739,3.6839,1,5.4731,
4,0.15308,0.12686,3.2121,0.22615,3.6772,1,5.4887,
5,0.18409,0.090726,3.2158,0.22569,3.6566,1,5.516,
6,0.2059,0.099898,3.216,0.22457,3.671,1,5.5168,
7,0.24195,0.040922,3.2167,0.22357,3.6881,1,5.5223,
8,0.29831,0.043488,3.2169,0.22302,3.6968,1,5.5246,
9,0.34235,0.024638,3.2171,0.22249,3.7074,1,5.5262,
10,0.4051,0.019164,3.2173,0.22206,3.7166,1,5.5283,
11,0.45137,0.017828,3.2174,0.22182,3.7216,1,5.5287,
12,0.51402,0.0090297,3.2175,0.2215,3.7298,1,5.5294,
13,0.5869,0.010041,3.2175,0.2213,3.7347,1,5.5299,
14,0.70228,0.0067035,3.2176,0.22125,3.7356,1,5.5316,
15,0.77134,0.0091333,3.2176,0.22112,3.7391,1,5.5315,
16,0.84727,0.0033565,3.2176,0.22103,3.7416,1,5.5315,
17,0.92664,0.002433,3.2176,0.22096,3.7434,1,5.5315,
18,1.0237,0.0017636,3.2176,0.22092,3.7447,1,5.5315,
19,1.1122,0.0012539,3.2176,0.22088,3.7456,1,5.5315,
20,1.2692,0.00087825,3.2176,0.22089,3.7454,1,5.5319,
21,1.3616,0.0023953,3.2176,0.22087,3.7459,1,5.5319,
22,1.4525,0.00041775,3.2176,0.22086,3.7462,1,5.5319,
23,1.5455,0.00028851,3.2176,0.22085,3.7464,1,5.5319,
24,1.6461,0.00019726,3.2176,0.22085,3.7465,1,5.5319,
25,1.7426,0.00013547,3.2176,0.22084,3.7466,1,5.5319,
26,1.855,9.2696e-05,3.2176,0.22084,3.7467,1,5.5319,
27,2.0481,6.3251e-05,3.2176,0.22083,3.7469,1,5.5319,
28,2.1458,0.00041974,3.2176,0.22083,3.747,1,5.5319,
29,2.263,2.945e-05,3.2176,0.22083,3.747,1,5.5319,
30,2.3807,2.0059e-05,3.2176,0.22083,3.747,1,5.5319,
31,2.4838,1.3683e-05,3.2176,0.22083,3.747,1,5.5319,
32,2.4917,9.3276e-06,3.2176,0.22083,3.747,1,5.5319,
33,2.4992,0,3.2176,0.22083,3.747,1,5.5319,
