"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,5.3386,4.8195,4.1911e-05,NaN,NaN,NaN,NaN,1,5.0227,0,0,
1,4.8662,2.4374,0.11428,0.00012901,0,4.4798,1,2.1504,2.4374,8.2335e-07,7.3266e-08,
2,3.3329,0.90163,0.18371,1,0,1.399,1,6.4152,0.90165,0.0051638,0.00016462,
3,3.315,0.19063,0.25295,1,0,0.093128,1,25.1944,0.19063,9.906e-07,3.8497e-08,
4,3.3149,0.042984,0.33283,0.28243,0,0.23344,1,32.8966,0.042984,1.9813e-06,6.7501e-08,
5,3.3149,0.042785,0.43538,0.042391,0,0.033941,1,32.8966,0.042785,2.236e-06,7.527e-08,
6,3.3149,0.039205,0.52699,0.05815,0,0.03832,1,32.8966,0.039205,2.5229e-06,8.3982e-08,
7,3.3148,0.024951,0.611,0.12158,0,0.054235,1,32.8966,0.024951,3.1256e-06,1.0229e-07,
8,3.3147,0.02686,0.68089,1,0,0.093676,1,32.8966,0.02686,9.8303e-07,3.087e-08,
9,3.3147,0.0013948,0.75399,1,0,0.0062506,1,49.7668,0.0013948,0,0,
10,3.3147,0.0010392,0.82532,1,0,0.00096048,1,138.7936,0.0010392,0,0,
11,3.3147,2.6619e-05,0.89567,1,0,0.00023664,1,138.7936,2.6619e-05,6.2532e-13,1.9541e-14,
